"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.901275390E-1,-1.356600039E-2,-2.009959966E-1,-1.686200052E-1,2.627092179E-1
5.951388440E-1,7.796000224E-3,-2.484990060E-1,3.132640123E-1,3.999335883E-1
6.001499980E-1,1.065499987E-2,-3.473899961E-1,1.286009997E-1,3.705827242E-1
6.051613810E-1,1.157630011E-1,-3.985170126E-1,-3.317660093E-1,5.313055305E-1
6.101727460E-1,1.735399961E-1,-3.432079852E-1,-5.825350285E-1,6.980364680E-1
6.151838250E-1,2.136960030E-1,-2.946699858E-1,-4.985859990E-1,6.173203225E-1
6.201951980E-1,-2.937800065E-2,-3.393090069E-1,-6.309109926E-1,7.169674677E-1
6.252065060E-1,-1.887180060E-1,-2.898750007E-1,-5.551789999E-1,6.541144577E-1
6.302176760E-1,-1.328189969E-1,-1.992149949E-1,-3.910090029E-1,4.584926832E-1
6.352290590E-1,-3.924100101E-2,-2.450570017E-1,-3.682270050E-1,4.440539578E-1
6.402404440E-1,-1.075700019E-2,-3.343949914E-1,-4.684039950E-1,5.756196886E-1
6.452515360E-1,-1.772600040E-2,-4.049459994E-1,-5.764449835E-1,7.046873722E-1
6.502629190E-1,-4.050299898E-2,-4.540100098E-1,-6.225860119E-1,7.716080119E-1
6.552742270E-1,-7.705199718E-2,-4.837560058E-1,-6.136959791E-1,7.852258517E-1
6.602856060E-1,-1.215730011E-1,-5.276190042E-1,-5.952169895E-1,8.046397162E-1
6.652967620E-1,-1.459390074E-1,-5.879889727E-1,-5.579069853E-1,8.235832867E-1
6.703080580E-1,-1.416040063E-1,-6.433789730E-1,-5.140749812E-1,8.356202988E-1
6.753194430E-1,-1.324969977E-1,-7.104970217E-1,-4.474479854E-1,8.500418648E-1
6.803305790E-1,-1.419519931E-1,-7.677770257E-1,-3.795529902E-1,8.681545956E-1
6.853418850E-1,-1.554840058E-1,-8.320609927E-1,-3.380509913E-1,9.114709235E-1
6.903530410E-1,-1.427740008E-1,-9.034569860E-1,-3.151639998E-1,9.674436870E-1
6.953644190E-1,-1.232599989E-1,-9.701449871E-1,-3.404499888E-1,1.035509787E0
7.003757280E-1,-7.960300148E-2,-1.031769991E0,-3.841469884E-1,1.103836428E0
7.053868670E-1,-7.658799738E-2,-1.105350018E0,-4.222880006E-1,1.185745140E0
7.103982500E-1,-4.714899883E-2,-1.181285977E0,-4.597750008E-1,1.268484387E0
7.154095600E-1,-2.004900016E-2,-1.261976004E0,-4.559150040E-1,1.341955248E0
7.204209370E-1,-1.447799988E-2,-1.342622995E0,-4.729700089E-1,1.423568316E0
7.254320930E-1,3.129000077E-3,-1.461503983E0,-4.846700132E-1,1.539775537E0
7.304434760E-1,1.829100028E-2,-1.554028988E0,-5.027959943E-1,1.633445582E0
7.354547800E-1,4.543299973E-2,-1.680001974E0,-5.153779984E-1,1.757863838E0
7.404659340E-1,4.860100150E-2,-1.793954968E0,-5.535780191E-1,1.878053543E0
7.454772300E-1,7.307799906E-2,-1.927003026E0,-5.695919991E-1,2.010750134E0
7.504883860E-1,9.733200073E-2,-2.062377930E0,-5.755550265E-1,2.143394465E0
7.554997680E-1,1.403270066E-1,-2.204874992E0,-5.165359974E-1,2.268914903E0
7.605110780E-1,1.923699975E-1,-2.352103949E0,-3.757790029E-1,2.389688067E0
7.655222420E-1,2.749980092E-1,-2.504061937E0,-2.203879952E-1,2.528739006E0
7.705335480E-1,3.498649895E-1,-2.622457027E0,-5.758300051E-2,2.646318608E0
7.755449320E-1,4.457989931E-1,-2.728820086E0,1.150930002E-1,2.767389058E0
7.805560880E-1,5.341280103E-1,-2.792031050E0,2.687279880E-1,2.855336205E0
7.855674710E-1,6.101729870E-1,-2.812077999E0,3.817139864E-1,2.902722742E0
7.905787800E-1,6.669210196E-1,-2.788944006E0,4.323700070E-1,2.899988989E0
7.955899340E-1,7.069950104E-1,-2.713037968E0,4.205540121E-1,2.835010165E0
8.006013170E-1,7.328460217E-1,-2.622639894E0,3.291650116E-1,2.742927799E0
8.056126270E-1,7.447670102E-1,-2.503369093E0,1.770900041E-1,2.617803580E0
8.106237900E-1,7.261270285E-1,-2.381551027E0,5.009799823E-2,2.490292265E0
8.156350950E-1,6.649010181E-1,-2.250015020E0,-4.247200117E-2,2.346585781E0
8.206464760E-1,5.874119997E-1,-2.108778000E0,-9.584300220E-2,2.191160284E0
8.256576320E-1,5.367349982E-1,-1.972211957E0,-1.026419997E-1,2.046518957E0
8.306689460E-1,4.865469933E-1,-1.845108032E0,-1.106610000E-1,1.911386273E0
8.356801020E-1,4.344559908E-1,-1.734652996E0,-1.050729975E-1,1.791316097E0
8.406917160E-1,3.876399994E-1,-1.614526033E0,-1.454569995E-1,1.666768376E0
8.457028820E-1,3.101519942E-1,-1.525416017E0,-1.121679991E-1,1.560663302E0
8.507141870E-1,2.640340030E-1,-1.424265027E0,-8.136399835E-2,1.450815261E0
8.557253430E-1,2.110030055E-1,-1.327813983E0,-1.558530033E-1,1.353477891E0
8.607367160E-1,1.151309982E-1,-1.231287956E0,-9.642300010E-2,1.240412259E0
8.657480250E-1,5.527599901E-2,-1.103579044E0,-8.938799798E-2,1.108572216E0
8.707591790E-1,7.559000049E-3,-9.395779967E-1,-9.887599945E-2,9.447964933E-1
8.757704810E-1,-4.367699847E-2,-7.586429715E-1,-8.505500108E-2,7.646444871E-1
8.807818660E-1,-1.192879975E-1,-5.726410151E-1,-1.231480017E-1,5.977564628E-1
8.857930210E-1,-2.326460034E-1,-3.791129887E-1,-1.376480013E-1,4.656154995E-1
8.908044040E-1,-3.270640075E-1,-2.069000006E-1,-1.064499989E-1,4.013851984E-1
8.958157140E-1,-4.146179855E-1,-6.802099943E-2,-4.732799903E-2,4.228177737E-1
9.008268530E-1,-4.838339984E-1,2.541399933E-2,8.549399674E-2,4.919862121E-1
9.058381580E-1,-5.419809818E-1,6.374199688E-2,2.855400145E-1,6.159054527E-1
9.108495430E-1,-5.682410002E-1,2.531399950E-2,5.116369724E-1,7.650562230E-1
9.158606890E-1,-6.167590022E-1,-6.586600095E-2,7.633649707E-1,9.835934502E-1
9.208719950E-1,-6.171330214E-1,-2.123430073E-1,1.047194004E0,1.233919771E0
9.258833700E-1,-5.941029787E-1,-3.686110079E-1,1.257876039E0,1.439126316E0
9.308945260E-1,-5.159590244E-1,-5.395669937E-1,1.430148005E0,1.613279137E0
9.359058320E-1,-3.963699937E-1,-6.965929866E-1,1.532755017E0,1.729649937E0
9.409172160E-1,-2.228810042E-1,-8.206779957E-1,1.558632970E0,1.775535145E0
9.459283720E-1,-2.538900077E-2,-8.903819919E-1,1.519512057E0,1.761346526E0
9.509397550E-1,1.952079982E-1,-9.106490016E-1,1.538207054E0,1.798184837E0
9.559510600E-1,3.758780062E-1,-9.504889846E-1,1.293329954E0,1.648458661E0
9.609622130E-1,5.572080016E-1,-9.740740061E-1,1.084879041E0,1.560853439E0
9.659735190E-1,7.537680268E-1,-9.568510056E-1,9.365209937E-1,1.536490044E0
9.709846750E-1,8.715389967E-1,-9.405990243E-1,7.848309875E-1,1.503418247E0
9.759960430E-1,9.534379840E-1,-9.315509796E-1,6.547920108E-1,1.485120801E0
9.810073520E-1,1.003097057E0,-9.247949719E-1,5.526440144E-1,1.472027463E0
9.860185060E-1,9.894390106E-1,-9.104880095E-1,4.428170025E-1,1.415649981E0
9.910298650E-1,9.330859780E-1,-8.884990215E-1,3.511419892E-1,1.335432758E0
9.960412490E-1,8.193870187E-1,-8.801649809E-1,2.422160059E-1,1.226684178E0
1.001052559E0,6.754750013E-1,-8.758789897E-1,1.651829928E-1,1.118354105E0
1.006063699E0,5.347319841E-1,-8.900089860E-1,8.186399937E-2,1.041516205E0
1.011075082E0,3.620800078E-1,-9.057930112E-1,4.322800040E-2,9.764382065E-1
1.016086166E0,1.978369951E-1,-9.280800223E-1,2.225900069E-2,9.491930613E-1
1.021097548E0,4.859999940E-2,-9.592890143E-1,-2.333000069E-3,9.605221579E-1
1.026108933E0,-8.044199646E-2,-1.002604008E0,-3.933399916E-2,1.006594692E0
1.031120247E0,-1.906419992E-1,-1.031486988E0,-4.541099817E-2,1.049939016E0
1.036131400E0,-2.629249990E-1,-1.048349977E0,8.210000233E-4,1.080818163E0
1.041142697E0,-2.950249910E-1,-1.053208947E0,9.458900243E-2,1.097832369E0
1.046154082E0,-2.773920000E-1,-1.055629015E0,2.192309946E-1,1.113265992E0
1.051165228E0,-2.507269979E-1,-1.012542963E0,3.221929967E-1,1.091748875E0
1.056176533E0,-1.517280042E-1,-9.431080222E-1,4.002819955E-1,1.035712221E0
1.061187689E0,-3.354899958E-2,-8.454220295E-1,4.294019938E-1,9.488150587E-1
1.066199072E0,7.564300299E-2,-7.528939843E-1,4.342640042E-1,8.724428009E-1
1.071210456E0,1.831530035E-1,-6.557779908E-1,3.785319924E-1,7.790226346E-1
1.076221761E0,2.637729943E-1,-5.922790170E-1,3.241789937E-1,7.248880234E-1
1.081232915E0,3.346259892E-1,-5.838109851E-1,2.528780103E-1,7.188581968E-1
1.086244221E0,3.890269995E-1,-5.754079819E-1,2.276940048E-1,7.309452180E-1
1.091255392E0,4.389570057E-1,-5.480200052E-1,2.449930012E-1,7.436603725E-1
1.096266774E0,4.659869969E-1,-5.207579732E-1,2.828460038E-1,7.538797051E-1
1.101278084E0,4.824149907E-1,-5.197809935E-1,2.853780091E-1,7.644194611E-1
1.106289495E0,5.001839995E-1,-5.187640190E-1,2.979390025E-1,7.797870158E-1
1.111300651E0,5.215910077E-1,-5.248270035E-1,2.995879948E-1,7.982816104E-1
1.116311957E0,5.560420156E-1,-5.162590146E-1,2.465710044E-1,7.978116027E-1
1.121323357E0,5.754160285E-1,-5.239800215E-1,1.566700041E-1,7.938539910E-1
1.126334513E0,5.782200098E-1,-5.503609776E-1,8.889299631E-2,8.032045507E-1
1.131345895E0,5.349929929E-1,-6.358780265E-1,6.290000165E-4,8.309986538E-1
1.136357195E0,4.381889999E-1,-7.636939883E-1,-6.103999913E-2,8.825893660E-1
1.141368349E0,3.036069870E-1,-9.146159887E-1,-1.015349999E-1,9.690247497E-1
1.146379654E0,1.202159971E-1,-1.053846002E0,-1.171780005E-1,1.067133527E0
1.151390815E0,-5.807299912E-2,-1.164273024E0,-7.348900288E-2,1.168034580E0
1.156402198E0,-2.049950063E-1,-1.279412985E0,-1.831099950E-2,1.295861039E0
1.161413522E0,-3.923209906E-1,-1.382496953E0,7.715199888E-2,1.439154618E0
1.166424675E0,-5.748050213E-1,-1.449597001E0,1.556760073E-1,1.567152608E0
1.171436058E0,-7.311339974E-1,-1.492652059E0,2.342779934E-1,1.678527113E0
1.176447439E0,-8.782430291E-1,-1.504467964E0,3.012009859E-1,1.767896125E0
1.181458748E0,-9.707599878E-1,-1.487403035E0,3.662709892E-1,1.813531687E0
1.186469916E0,-1.020709038E0,-1.422279000E0,4.344750047E-1,1.803744168E0
1.191481222E0,-1.066408038E0,-1.330626965E0,4.842869937E-1,1.772661309E0
1.196492378E0,-1.074342012E0,-1.217211008E0,4.966399968E-1,1.697782284E0
1.201503760E0,-1.030153036E0,-1.072445989E0,4.643740058E-1,1.557882824E0
1.206515145E0,-9.240279794E-1,-9.425849915E-1,3.388879895E-1,1.362768961E0
1.211526455E0,-7.833269835E-1,-7.762889862E-1,1.845670044E-1,1.118164001E0
1.216537609E0,-6.181910038E-1,-6.022319794E-1,-7.695999928E-3,8.630774604E-1
1.221548923E0,-4.614560008E-1,-4.492020011E-1,-1.909079999E-1,6.716918511E-1
1.226560308E0,-2.916699946E-1,-2.671270072E-1,-3.661830127E-1,5.389974235E-1
1.231571464E0,-1.414169967E-1,-1.088590026E-1,-4.993050098E-1,5.302400798E-1
1.236582770E0,2.525000088E-2,2.753400058E-2,-5.592150092E-1,5.604615154E-1
1.241594154E0,1.709389985E-1,1.394650042E-1,-5.734919906E-1,6.144621159E-1
1.246605539E0,3.243550062E-1,2.262510061E-1,-4.758769870E-1,6.187524502E-1
1.251616681E0,4.736790061E-1,2.972500026E-1,-3.413499892E-1,6.551711074E-1
1.256627758E0,5.797690153E-1,3.068000078E-1,-1.376260072E-1,6.702233014E-1
1.261639135E0,6.461380124E-1,2.814010084E-1,6.419499964E-2,7.076735523E-1
1.266650443E0,6.925140023E-1,2.161500007E-1,3.066099882E-1,7.875951695E-1
1.271661599E0,6.799229980E-1,1.309310049E-1,4.681400061E-1,8.358189256E-1
1.276672996E0,6.100819707E-1,-2.161099948E-2,5.888609886E-1,8.481888411E-1
1.281684306E0,4.800939858E-1,-1.909690052E-1,6.957849860E-1,8.666464925E-1
1.286695460E0,3.034639955E-1,-3.984189928E-1,7.873079777E-1,9.331033930E-1
1.291706851E0,1.142909974E-1,-6.150159836E-1,8.547390103E-1,1.059191139E0
1.296718160E0,-1.446080059E-1,-8.117520213E-1,9.129589796E-1,1.230181661E0
1.301729314E0,-4.278280139E-1,-9.627879858E-1,9.406160116E-1,1.412358310E0
